year,category,film,name,result,gender,birthday
1970,Actor,Midnight Cowboy,Jon Voight,Nominee,Male,1938
1970,Actress,The Prime of Miss Jean Brodie,Maggie Smith,Winner,Female,1934
1970,Actress,Anne of the Thousand Days,Genevieve Bujold,Nominee,Female,1942
1970,Actress,"They Shoot Horses, Don't They?",Jane Fonda,Nominee,Female,1937
1970,Actress,The Sterile Cuckoo,Liza Minnelli,Nominee,Female,1946
1970,Actress,The Happy Ending,Jean Simmons,Nominee,Female,1929
1970,Directing,Midnight Cowboy,John Schlesinger,Winner,Male,1926
1970,Directing,Alice's Restaurant,Arthur Penn,Nominee,Male,1922
1970,Directing,Butch Cassidy and the Sundance Kid,George Roy Hill,Nominee,Male,1921
1970,Directing,"They Shoot Horses, Don't They?",Sydney Pollack,Nominee,Male,1934
1970,Directing,Z,Costa-Gavras,Nominee,Male,1933
1971,Actor,Patton,George C. Scott,Winner,Male,1927
1971,Actor,I Never Sang for My Father,Melvyn Douglas,Nominee,Male,1901
1971,Actor,The Great White Hope,James Earl Jones,Nominee,Male,1931
1971,Actor,Five Easy Pieces,Jack Nicholson,Nominee,Male,1937
1971,Actor,Love Story,Ryan O'Neal,Nominee,Male,1941
1971,Actress,Women in Love,Glenda Jackson,Winner,Female,1936
1971,Actress,The Great White Hope,Jane Alexander,Nominee,Female,1939
1971,Actress,Love Story,Ali MacGraw,Nominee,Female,1939
1971,Actress,Ryan's Daughter,Sarah Miles,Nominee,Female,1941
1971,Actress,Diary of a Mad Housewife,Carrie Snodgress,Nominee,Female,1945
1971,Directing,Patton,Franklin J. Schaffner,Winner,Male,1920
1971,Directing,Fellini Satyricon,Federico Fellini,Nominee,Male,1920
1971,Directing,Love Story,Arthur Hiller,Nominee,Male,1923
1971,Directing,M*A*S*H,Robert Altman,Nominee,Male,1925
1971,Directing,Women in Love,Ken Russell,Nominee,Male,1927
1972,Actor,The French Connection,Gene Hackman,Winner,Male,1930
1972,Actor,Sunday Bloody Sunday,Peter Finch,Nominee,Male,1916
1972,Actor,Kotch,Walter Matthau,Nominee,Male,1920
1972,Actor,The Hospital,George C. Scott,Nominee,Male,1927
1972,Actor,Fiddler on the Roof,Chaim Topol,Nominee,Male,1935
1972,Actress,Klute,Jane Fonda,Winner,Female,1937
1972,Actress,McCabe & Mrs. Miller,Julie Christie,Nominee,Female,1941
1972,Actress,Sunday Bloody Sunday,Glenda Jackson,Nominee,Female,1936
1972,Actress,"Mary, Queen of Scots",Vanessa Redgrave,Nominee,Female,1937
1972,Actress,Nicholas and Alexandra,Janet Suzman,Nominee,Female,1939
