year,category,film,name,result,gender,birthday,genreids,original_language
1936,Outstanding Production,The Lives of a Bengal Lancer,Paramount,Nominee,,,"[12, 18, 10752]",en
1936,Outstanding Production,A Midsummer Night's Dream,Warner Bros.,Nominee,,,"[14, 35, 878, 10749]",en
1936,Outstanding Production,Naughty Marietta,Metro-Goldwyn-Mayer,Nominee,,,"[18, 10402]",en
1936,Outstanding Production,Ruggles of Red Gap,Paramount,Nominee,,,[35],en
1936,Outstanding Production,Top Hat,RKO Radio,Nominee,,,"[35, 10402, 10749]",en
1937,Outstanding Production,The Great Ziegfeld,Metro-Goldwyn-Mayer,Winner,,,"[18, 10402, 10749]",en
1937,Outstanding Production,Anthony Adverse,Warner Bros.,Nominee,,,"[28, 18, 10749]",en
1937,Outstanding Production,Dodsworth,Samuel Goldwyn Productions,Nominee,,,"[18, 10749]",en
1937,Outstanding Production,Libeled Lady,Metro-Goldwyn-Mayer,Nominee,,,"[35, 10749]",en
1937,Outstanding Production,Mr. Deeds Goes to Town,Columbia,Nominee,,,"[35, 18, 10749]",en
1937,Outstanding Production,Romeo and Juliet,Metro-Goldwyn-Mayer,Nominee,,,"[18, 10749]",en
1937,Outstanding Production,San Francisco,Metro-Goldwyn-Mayer,Nominee,,,"[18, 10402, 10749]",en
1937,Outstanding Production,The Story of Louis Pasteur,Cosmopolitan,Nominee,,,"[18, 36]",en
1937,Outstanding Production,A Tale of Two Cities,Metro-Goldwyn-Mayer,Nominee,,,"[18, 28, 10749, 36]",en
1937,Outstanding Production,Three Smart Girls,Universal,Nominee,,,"[35, 10749, 10402]",en
1938,Outstanding Production,The Life of Emile Zola,Warner Bros.,Winner,,,[18],en
1938,Outstanding Production,The Awful Truth,Columbia,Nominee,,,"[35, 18, 10749]",en
1938,Outstanding Production,Captains Courageous,Metro-Goldwyn-Mayer,Nominee,,,"[12, 18, 10751]",en
1938,Outstanding Production,Dead End,Samuel Goldwyn Productions,Nominee,,,"[80, 18]",en
1938,Outstanding Production,The Good Earth,Metro-Goldwyn-Mayer,Nominee,,,"[18, 36, 10749]",en
1938,Outstanding Production,In Old Chicago,20th Century-Fox,Nominee,,,"[28, 18]",en
1938,Outstanding Production,Lost Horizon,Columbia,Nominee,,,"[12, 14, 18, 9648]",en
1938,Outstanding Production,One Hundred Men and a Girl,Universal,Nominee,,,[35],en
1938,Outstanding Production,Stage Door,RKO Radio,Nominee,,,"[35, 18]",en
1938,Outstanding Production,A Star Is Born,Selznick International Pictures,Nominee,,,"[18, 10749]",en
1939,Outstanding Production,You Can't Take It with You,Columbia,Winner,,,"[35, 18, 10749]",en
1939,Outstanding Production,The Adventures of Robin Hood,Warner Bros.-First National,Nominee,,,"[12, 28, 10749]",en
1939,Outstanding Production,Alexander's Ragtime Band,20th Century-Fox,Nominee,,,"[18, 10402, 10749]",en
1939,Outstanding Production,Boys Town,Metro-Goldwyn-Mayer,Nominee,,,[18],en
1939,Outstanding Production,The Citadel,Metro-Goldwyn-Mayer,Nominee,,,[18],en
1939,Outstanding Production,Four Daughters,Warner Bros.-First National,Nominee,,,"[18, 10402, 10749]",en
1939,Outstanding Production,Grand Illusion,Realization D'Art Cinematographique,Nominee,,,"[18, 36, 10752]",fr
1939,Outstanding Production,Jezebel,Warner Bros.,Nominee,,,"[18, 10749]",en
1939,Outstanding Production,Pygmalion,Metro-Goldwyn-Mayer,Nominee,,,"[35, 18]",en
1939,Outstanding Production,Test Pilot,Metro-Goldwyn-Mayer,Nominee,,,"[18, 10749]",en
1940,Outstanding Production,Gone with the Wind,Selznick International Pictures,Winner,,,"[18, 10752, 10749]",en
1940,Outstanding Production,Dark Victory,Warner Bros.-First National,Nominee,,,"[18, 10749]",en
1940,Outstanding Production,"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer,Nominee,,,"[18, 10749]",en
1940,Outstanding Production,Love Affair,RKO Radio,Nominee,,,"[35, 18, 10749]",en
1940,Outstanding Production,Mr. Smith Goes to Washington,Columbia,Nominee,,,"[35, 18]",en
1940,Outstanding Production,Ninotchka,Metro-Goldwyn-Mayer,Nominee,,,"[35, 10749]",en
1940,Outstanding Production,Of Mice and Men,Hal Roach (production company),Nominee,,,[18],en
1940,Outstanding Production,Stagecoach,Walter Wanger (production company),Nominee,,,"[37, 12, 28]",en
1940,Outstanding Production,The Wizard of Oz,Metro-Goldwyn-Mayer,Nominee,,,"[12, 14, 10751]",en
1940,Outstanding Production,Wuthering Heights,Samuel Goldwyn Productions,Nominee,,,"[18, 10749]",en
1941,Outstanding Production,Rebecca,Selznick International Pictures,Winner,,,"[9648, 18, 53, 10749]",en
1941,Outstanding Production,"All This, and Heaven Too",Warner Bros.,Nominee,,,"[18, 10749]",en
1941,Outstanding Production,Foreign Correspondent,Walter Wanger (production company),Nominee,,,"[9648, 53, 10752]",en
1941,Outstanding Production,The Grapes of Wrath,20th Century-Fox,Nominee,,,[18],en
1941,Outstanding Production,The Great Dictator,Charles Chaplin Productions,Nominee,,,[35],en
1941,Outstanding Production,Kitty Foyle,RKO Radio,Nominee,,,"[18, 10749]",en
1941,Outstanding Production,The Letter,Warner Bros.,Nominee,,,"[80, 18, 10749, 9648]",en
1941,Outstanding Production,The Long Voyage Home,Argosy-Wanger,Nominee,,,"[18, 10752]",en
1941,Outstanding Production,Our Town,Sol Lesser (production company),Nominee,,,"[18, 10749]",en
1941,Outstanding Production,The Philadelphia Story,Metro-Goldwyn-Mayer,Nominee,,,"[35, 10749]",en
1945,Best Motion Picture,Going My Way,Paramount,Winner,,,"[35, 18, 10402]",en
1945,Best Motion Picture,Double Indemnity,Paramount,Nominee,,,"[80, 18, 9648, 53]",en
1945,Best Motion Picture,Gaslight,Metro-Goldwyn-Mayer,Nominee,,,"[80, 18, 9648, 53]",en
1945,Best Motion Picture,Since You Went Away,Selznick International Pictures,Nominee,,,"[18, 10749, 10752]",en
1945,Best Motion Picture,Wilson,20th Century-Fox,Nominee,,,"[10749, 18, 36, 10402]",en
1946,Best Motion Picture,The Lost Weekend,Paramount,Winner,,,[18],en
1946,Best Motion Picture,Anchors Aweigh,Metro-Goldwyn-Mayer,Nominee,,,"[35, 14, 10402, 10749, 10752]",en
1946,Best Motion Picture,The Bells of St. Mary's,Rainbow Productions,Nominee,,,"[18, 10751]",en
1946,Best Motion Picture,Mildred Pierce,Warner Bros.,Nominee,,,"[80, 18]",en
1946,Best Motion Picture,Spellbound,Selznick International Pictures,Nominee,,,"[9648, 53, 10749]",en
1947,Best Motion Picture,The Best Years of Our Lives,Samuel Goldwyn Productions,Winner,,,"[18, 10749, 10752]",en
1947,Best Motion Picture,Henry V,J. Arthur Rank-Two Cities Films,Nominee,,,"[18, 28, 36]",en
1947,Best Motion Picture,It's a Wonderful Life,Liberty Films,Nominee,,,"[18, 10751, 14]",en
1947,Best Motion Picture,The Razor's Edge,20th Century-Fox,Nominee,,,"[18, 10749]",en
1947,Best Motion Picture,The Yearling,Metro-Goldwyn-Mayer,Nominee,,,"[18, 10751, 37]",en
1948,Best Motion Picture,Gentleman's Agreement,20th Century-Fox,Winner,,,"[18, 10749]",en
1948,Best Motion Picture,The Bishop's Wife,Samuel Goldwyn Productions,Nominee,,,"[35, 18, 14, 10749]",en
1948,Best Motion Picture,Crossfire,RKO Radio,Nominee,,,"[80, 18, 9648, 53]",en
1948,Best Motion Picture,Great Expectations,J. Arthur Rank-Cineguild,Nominee,,,"[10749, 18]",en
1948,Best Motion Picture,Miracle on 34th Street,20th Century-Fox,Nominee,,,"[35, 18, 10751]",en
1949,Best Motion Picture,Hamlet,J. Arthur Rank-Two Cities Films,Winner,,,[18],en
1949,Best Motion Picture,Johnny Belinda,Warner Bros.,Nominee,,,[18],en
1949,Best Motion Picture,The Red Shoes,J. Arthur Rank-Archers,Nominee,,,"[18, 10749]",en
1949,Best Motion Picture,The Snake Pit,20th Century-Fox,Nominee,,,"[18, 9648]",en
1949,Best Motion Picture,The Treasure of the Sierra Madre,Warner Bros.,Nominee,,,"[12, 18, 37]",en
1950,Best Motion Picture,All the King's Men,Robert Rossen Productions,Winner,,,[18],en
1950,Best Motion Picture,Battleground,Metro-Goldwyn-Mayer,Nominee,,,"[28, 12, 18, 10752]",en
1950,Best Motion Picture,The Heiress,Paramount,Nominee,,,"[18, 36, 10749]",en
1950,Best Motion Picture,A Letter to Three Wives,20th Century-Fox,Nominee,,,"[18, 10749]",en
1950,Best Motion Picture,Twelve O'Clock High,20th Century-Fox,Nominee,,,"[10752, 28, 18]",en
1951,Best Motion Picture,All about Eve,20th Century-Fox,Winner,,,[18],en
1951,Best Motion Picture,Born Yesterday,Columbia,Nominee,,,"[35, 10749, 18]",en
1951,Best Motion Picture,Father of the Bride,Metro-Goldwyn-Mayer,Nominee,,,"[35, 10751, 10749]",en
1951,Best Motion Picture,King Solomon's Mines,Metro-Goldwyn-Mayer,Nominee,,,[12],en
1951,Best Motion Picture,Sunset Boulevard,Paramount,Nominee,,,[18],en
1952,Best Motion Picture,An American in Paris,"Arthur Freed, Producer",Winner,,,"[35, 10402, 10749]",en
1952,Best Motion Picture,Decision before Dawn,"Anatole Litvak and Frank McCarthy, Producers",Nominee,,,"[10752, 28, 53]",en
1952,Best Motion Picture,A Place in the Sun,"George Stevens, Producer",Nominee,,,"[18, 10749]",en
1952,Best Motion Picture,Quo Vadis,"Sam Zimbalist, Producer",Nominee,,,"[18, 36, 10749]",en
1952,Best Motion Picture,A Streetcar Named Desire,"Charles K. Feldman, Producer",Nominee,,,[18],en
1953,Best Motion Picture,The Greatest Show on Earth,"Cecil B. DeMille, Producer",Winner,,,"[18, 10751, 10749]",en
1953,Best Motion Picture,High Noon,"Stanley Kramer, Producer",Nominee,,,"[37, 53]",en
1953,Best Motion Picture,Ivanhoe,"Pandro S. Berman, Producer",Nominee,,,"[12, 10749]",en
1953,Best Motion Picture,Moulin Rouge,Romulus Films,Nominee,,,"[18, 10402]",en
1953,Best Motion Picture,The Quiet Man,"John Ford and Merian C. Cooper, Producers",Nominee,,,"[10749, 35, 18]",en
1954,Best Motion Picture,From Here to Eternity,"Buddy Adler, Producer",Winner,,,"[10749, 18, 10752]",en
1954,Best Motion Picture,Julius Caesar,"John Houseman, Producer",Nominee,,,"[18, 36]",en
1954,Best Motion Picture,The Robe,"Frank Ross, Producer",Nominee,,,"[18, 36]",en
1954,Best Motion Picture,Roman Holiday,"William Wyler, Producer",Nominee,,,"[10749, 35, 18]",en
1954,Best Motion Picture,Shane,"George Stevens, Producer",Nominee,,,"[18, 37]",en
1955,Best Motion Picture,On the Waterfront,"Sam Spiegel, Producer",Winner,,,"[80, 18]",en
1955,Best Motion Picture,The Caine Mutiny,"Stanley Kramer, Producer",Nominee,,,[10752],en
1955,Best Motion Picture,The Country Girl,"William Perlberg, Producer",Nominee,,,"[10402, 18]",en
1955,Best Motion Picture,Seven Brides for Seven Brothers,"Jack Cummings, Producer",Nominee,,,"[35, 18, 37]",en
1955,Best Motion Picture,Three Coins in the Fountain,"Sol C. Siegel, Producer",Nominee,,,[18],en
1956,Best Motion Picture,Marty,"Harold Hecht, Producer",Winner,,,"[18, 10749]",en
1956,Best Motion Picture,Love Is a Many-Splendored Thing,"Buddy Adler, Producer",Nominee,,,"[18, 10749, 10752]",en
1956,Best Motion Picture,Mister Roberts,"Leland Hayward, Producer",Nominee,,,"[35, 18, 10751, 10752]",en
1956,Best Motion Picture,Picnic,"Fred Kohlmar, Producer",Nominee,,,"[18, 10749]",en
1956,Best Motion Picture,The Rose Tattoo,"Hal B. Wallis, Producer",Nominee,,,"[18, 10749]",en
1957,Best Motion Picture,Around the World in Eighty Days,"Michael Todd, Producer",Winner,,,"[12, 35, 10751, 14, 10749]",en
1957,Best Motion Picture,Friendly Persuasion,"William Wyler, Producer",Nominee,,,"[18, 37, 10752]",en
1957,Best Motion Picture,Giant,"George Stevens and Henry Ginsberg, Producers",Nominee,,,"[18, 37]",en
1957,Best Motion Picture,The King and I,"Charles Brackett, Producer",Nominee,,,"[18, 10749, 12, 10402]",en
1957,Best Motion Picture,The Ten Commandments,"Cecil B. DeMille, Producer",Nominee,,,"[18, 36]",en
1958,Best Motion Picture,The Bridge on the River Kwai,"Sam Spiegel, Producer",Winner,,,"[18, 36, 10752]",en
1958,Best Motion Picture,Peyton Place,"Jerry Wald, Producer",Nominee,,,"[18, 10749]",en
1958,Best Motion Picture,Sayonara,"William Goetz, Producer",Nominee,,,"[18, 10749]",en
1958,Best Motion Picture,12 Angry Men,"Henry Fonda and Reginald Rose, Producers",Nominee,,,[18],en
1958,Best Motion Picture,Witness for the Prosecution,"Arthur Hornblow, Jr., Producer",Nominee,,,"[18, 9648, 80]",en
1959,Best Motion Picture,Gigi,"Arthur Freed, Producer",Winner,,,"[35, 10749]",en
1959,Best Motion Picture,Auntie Mame,Warner Bros.,Nominee,,,"[35, 18, 10749]",en
1959,Best Motion Picture,Cat on a Hot Tin Roof,"Lawrence Weingarten, Producer",Nominee,,,"[18, 10749]",en
1959,Best Motion Picture,The Defiant Ones,"Stanley Kramer, Producer",Nominee,,,"[80, 18]",en
1959,Best Motion Picture,Separate Tables,"Harold Hecht, Producer",Nominee,,,"[18, 10749]",en
1960,Best Motion Picture,Ben-Hur,"Sam Zimbalist, Producer",Winner,,,"[28, 18, 36]",en
1960,Best Motion Picture,Anatomy of a Murder,"Otto Preminger, Producer",Nominee,,,"[80, 18, 9648, 53]",en
1960,Best Motion Picture,The Diary of Anne Frank,"George Stevens, Producer",Nominee,,,"[18, 36]",en
1960,Best Motion Picture,The Nun's Story,"Henry Blanke, Producer",Nominee,,,[18],en
1960,Best Motion Picture,Room at the Top,"John Woolf and James Woolf, Producers",Nominee,,,"[18, 10749]",en
1961,Best Motion Picture,The Apartment,"Billy Wilder, Producer",Winner,,,"[35, 18, 10749]",en
1961,Best Motion Picture,The Alamo,"John Wayne, Producer",Nominee,,,[37],en
1961,Best Motion Picture,Elmer Gantry,"Bernard Smith, Producer",Nominee,,,[18],en
1961,Best Motion Picture,Sons and Lovers,"Jerry Wald, Producer",Nominee,,,[18],en
1961,Best Motion Picture,The Sundowners,"Fred Zinnemann, Producer",Nominee,,,[12],en
1962,Best Motion Picture,West Side Story,"Robert Wise, Producer",Winner,,,"[80, 18, 10749]",en
1962,Best Motion Picture,Fanny,"Joshua Logan, Producer",Nominee,,,"[18, 10749]",en
1962,Best Motion Picture,The Guns of Navarone,"Carl Foreman, Producer",Nominee,,,"[10752, 28]",en
1962,Best Motion Picture,The Hustler,"Robert Rossen, Producer",Nominee,,,[18],en
1962,Best Motion Picture,Judgment at Nuremberg,"Stanley Kramer, Producer",Nominee,,,"[18, 36, 10752]",en
1963,Best Picture,Lawrence of Arabia,"Sam Spiegel, Producer",Winner,,,"[10752, 36, 12, 18]",en
1963,Best Picture,The Longest Day,"Darryl F. Zanuck, Producer",Nominee,,,[10752],en
1963,Best Picture,The Music Man,"Morton Da Costa, Producer",Nominee,,,"[35, 10751, 10402, 10749]",en
1963,Best Picture,Mutiny on the Bounty,"Aaron Rosenberg, Producer",Nominee,,,"[12, 18, 36]",en
1963,Best Picture,To Kill a Mockingbird,"Alan J. Pakula, Producer",Nominee,,,"[80, 18]",en
1964,Best Picture,Tom Jones,"Tony Richardson, Producer",Winner,,,"[12, 35, 10749]",en
1964,Best Picture,America America,"Elia Kazan, Producer",Nominee,,,"[18, 36]",en
1964,Best Picture,Cleopatra,"Walter Wanger, Producer",Nominee,,,"[18, 36, 10749]",en
1964,Best Picture,How the West Was Won,"Bernard Smith, Producer",Nominee,,,[37],en
1964,Best Picture,Lilies of the Field,"Ralph Nelson, Producer",Nominee,,,"[35, 18]",en
1965,Best Picture,My Fair Lady,"Jack L. Warner, Producer",Winner,,,"[10749, 18, 10402]",en
1965,Best Picture,Becket,"Hal B. Wallis, Producer",Nominee,,,"[18, 36]",en
1965,Best Picture,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick, Producer",Nominee,,,"[18, 35, 10752]",en
1965,Best Picture,Mary Poppins,"Walt Disney and Bill Walsh, Producers",Nominee,,,"[35, 10751, 14]",en
1965,Best Picture,Zorba the Greek,"Michael Cacoyannis, Producer",Nominee,,,[18],el
1966,Best Picture,The Sound of Music,"Robert Wise, Producer",Winner,,,"[18, 10751, 10402, 10749]",en
1966,Best Picture,Darling,"Joseph Janni, Producer",Nominee,,,"[18, 10749]",en
1966,Best Picture,Doctor Zhivago,"Carlo Ponti, Producer",Nominee,,,"[18, 10749, 10752]",en
1966,Best Picture,Ship of Fools,"Stanley Kramer, Producer",Nominee,,,"[18, 10749, 10752]",en
1966,Best Picture,A Thousand Clowns,"Fred Coe, Producer",Nominee,,,"[35, 18, 10749]",en
1967,Best Picture,A Man for All Seasons,"Fred Zinnemann, Producer",Winner,,,"[18, 36]",en
1967,Best Picture,Alfie,"Lewis Gilbert, Producer",Nominee,,,"[35, 18, 10749]",en
1967,Best Picture,The Russians Are Coming The Russians Are Coming,"Norman Jewison, Producer",Nominee,,,"[35, 10752]",en
1967,Best Picture,The Sand Pebbles,"Robert Wise, Producer",Nominee,,,"[12, 10752]",en
1967,Best Picture,Who's Afraid of Virginia Woolf?,"Ernest Lehman, Producer",Nominee,,,[18],en
1968,Best Picture,In the Heat of the Night,"Walter Mirisch, Producer",Winner,,,"[80, 18, 9648, 53]",en
1968,Best Picture,Bonnie and Clyde,"Warren Beatty, Producer",Nominee,,,"[80, 18]",en
1968,Best Picture,Doctor Dolittle,"Arthur P. Jacobs, Producer",Nominee,,,"[35, 10751, 14, 10402]",en
1968,Best Picture,The Graduate,"Lawrence Turman, Producer",Nominee,,,"[35, 18]",en
1968,Best Picture,Guess Who's Coming to Dinner,"Stanley Kramer, Producer",Nominee,,,[18],en
1969,Best Picture,Oliver!,"John Woolf, Producer",Winner,,,"[18, 10751, 10402]",en
1969,Best Picture,Funny Girl,"Ray Stark, Producer",Nominee,,,"[35, 18, 10749]",en
1969,Best Picture,The Lion in Winter,"Martin Poll, Producer",Nominee,,,"[18, 36]",en
1969,Best Picture,"Rachel, Rachel","Paul Newman, Producer",Nominee,,,"[18, 10749]",en
1969,Best Picture,Romeo and Juliet,"Anthony Havelock-Allan and John Brabourne, Producers",Nominee,,,"[18, 10749]",en
1970,Best Picture,Midnight Cowboy,"Jerome Hellman, Producer",Winner,,,[18],en
1970,Best Picture,Anne of the Thousand Days,"Hal B. Wallis, Producer",Nominee,,,"[18, 36, 10749]",en
1970,Best Picture,Butch Cassidy and the Sundance Kid,"John Foreman, Producer",Nominee,,,"[37, 18, 80]",en
1970,Best Picture,"Hello, Dolly!","Ernest Lehman, Producer",Nominee,,,"[35, 10751, 10402, 10749]",en
1970,Best Picture,Z,"Jacques Perrin and Hamed Rachedi, Producers",Nominee,,,"[18, 36, 53]",fr
1971,Best Picture,Patton,"Frank McCarthy, Producer",Winner,,,"[10752, 18, 36]",en
1971,Best Picture,Airport,"Ross Hunter, Producer",Nominee,,,[28],en
1971,Best Picture,Five Easy Pieces,"Bob Rafelson and Richard Wechsler, Producers",Nominee,,,[18],en
1971,Best Picture,Love Story,"Howard G. Minsky, Producer",Nominee,,,"[18, 10749]",en
1971,Best Picture,M*A*S*H,"Ingo Preminger, Producer",Nominee,,,"[35, 18, 10752]",en
1972,Best Picture,The French Connection,"Philip D'Antoni, Producer",Winner,,,"[28, 80, 53]",en
1972,Best Picture,A Clockwork Orange,"Stanley Kubrick, Producer",Nominee,,,"[878, 18]",en
1972,Best Picture,Fiddler on the Roof,"Norman Jewison, Producer",Nominee,,,"[18, 10749]",en
1972,Best Picture,The Last Picture Show,"Stephen J. Friedman, Producer",Nominee,,,[18],en
1972,Best Picture,Nicholas and Alexandra,"Sam Spiegel, Producer",Nominee,,,"[18, 36, 10749, 10752]",en
1973,Best Picture,The Godfather,"Albert S. Ruddy, Producer",Winner,,,"[18, 80]",en
1973,Best Picture,Cabaret,"Cy Feuer, Producer",Nominee,,,"[10402, 18, 10749]",en
1973,Best Picture,Deliverance,"John Boorman, Producer",Nominee,,,"[18, 12, 53]",en
1973,Best Picture,The Emigrants,"Bengt Forslund, Producer",Nominee,,,"[18, 36]",sv
1973,Best Picture,Sounder,"Robert B. Radnitz, Producer",Nominee,,,[18],en
1974,Best Picture,The Sting,"Tony Bill, Michael Phillips and Julia Phillips, Producers",Winner,,,"[35, 80, 18]",en
1974,Best Picture,American Graffiti,"Francis Ford Coppola, Producer;  Gary Kurtz, Co-Producer",Nominee,,,"[35, 18]",en
1974,Best Picture,Cries and Whispers,"Ingmar Bergman, Producer",Nominee,,,[18],sv
1974,Best Picture,The Exorcist,"William Peter Blatty, Producer",Nominee,,,[27],en
1974,Best Picture,A Touch of Class,"Melvin Frank, Producer",Nominee,,,"[35, 10749]",en
1975,Best Picture,The Godfather Part II,"Francis Ford Coppola, Producer;  Gray Frederickson and Fred Roos, Co-Producers",Winner,,,"[18, 80]",en
1975,Best Picture,Chinatown,"Robert Evans, Producer",Nominee,,,"[80, 18, 9648, 53]",en
1975,Best Picture,The Conversation,"Francis Ford Coppola, Producer;  Fred Roos, Co-Producer",Nominee,,,"[80, 18, 9648]",en
1975,Best Picture,Lenny,"Marvin Worth, Producer",Nominee,,,[18],en
1975,Best Picture,The Towering Inferno,"Irwin Allen, Producer",Nominee,,,"[28, 53, 18]",en
1976,Best Picture,One Flew over the Cuckoo's Nest,"Saul Zaentz and Michael Douglas, Producers",Winner,,,[18],en
1976,Best Picture,Barry Lyndon,"Stanley Kubrick, Producer",Nominee,,,"[18, 10749, 10752]",en
1976,Best Picture,Dog Day Afternoon,"Martin Bregman and Martin Elfand, Producers",Nominee,,,"[80, 18, 53]",en
1976,Best Picture,Jaws,"Richard D. Zanuck and David Brown, Producers",Nominee,,,"[27, 53, 12]",en
1976,Best Picture,Nashville,"Robert Altman, Producer",Nominee,,,"[18, 10402, 35]",en
1977,Best Picture,Rocky,"Irwin Winkler and Robert Chartoff, Producers",Winner,,,"[18, 28]",en
1977,Best Picture,All the President's Men,"Walter Coblenz, Producer",Nominee,,,"[18, 36, 9648, 53]",en
1977,Best Picture,Bound for Glory,"Robert F. Blumofe and Harold Leventhal, Producers",Nominee,,,"[10402, 18]",en
1977,Best Picture,Network,"Howard Gottfried, Producer",Nominee,,,[18],en
1977,Best Picture,Taxi Driver,"Michael Phillips and Julia Phillips, Producers",Nominee,,,"[80, 18]",en
1978,Best Picture,Annie Hall,"Charles H. Joffe, Producer",Winner,,,"[35, 18, 10749]",en
1978,Best Picture,The Goodbye Girl,"Ray Stark, Producer",Nominee,,,"[35, 10749]",en
1978,Best Picture,Julia,"Richard Roth, Producer",Nominee,,,[18],en
1978,Best Picture,Star Wars,"Gary Kurtz, Producer",Nominee,,,"[12, 28, 878]",en
1978,Best Picture,The Turning Point,"Herbert Ross and Arthur Laurents, Producers",Nominee,,,"[18, 10749]",en
