year,category,film,name,result,gender,birthday,genreids,original_language
2005,Best Picture,Sideways,"Michael London, Producer",Nominee,,,"[35, 18, 10749]",en
2006,Best Picture,Crash,"Paul Haggis and Cathy Schulman, Producers",Winner,,,[18],en
2006,Best Picture,Brokeback Mountain,"Diana Ossana and James Schamus, Producers",Nominee,,,"[18, 10749]",en
2006,Best Picture,Capote,"Caroline Baron, William Vince and Michael Ohoven, Producers",Nominee,,,"[80, 18]",en
2006,Best Picture,"Good Night, and Good Luck.","Grant Heslov, Producer",Nominee,,,"[18, 36]",en
2006,Best Picture,Munich,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers",Nominee,,,"[18, 28, 36, 53]",en
2007,Best Picture,The Departed,"Graham King, Producer",Winner,,,"[18, 53, 80]",en
2007,Best Picture,Babel,Alejandro González Iñárritu,Nominee,,,[18],en
2007,Best Picture,Letters from Iwo Jima,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers",Nominee,,,"[28, 18, 10752]",en
2007,Best Picture,Little Miss Sunshine,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",Nominee,,,"[35, 18]",en
2007,Best Picture,The Queen,"Andy Harries, Christine Langan and Tracey Seaward, Producers",Nominee,,,"[18, 36]",en
2008,Best Picture,No Country for Old Men,"Scott Rudin, Ethan Coen and Joel Coen, Producers",Winner,,,"[80, 18, 53]",en
2008,Best Picture,Atonement,"Tim Bevan, Eric Fellner and Paul Webster, Producers",Nominee,,,"[18, 10749]",en
2008,Best Picture,Juno,"Lianne Halfon, Mason Novick and Russell Smith, Producers",Nominee,,,"[35, 18, 10749]",en
2008,Best Picture,Michael Clayton,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",Nominee,,,"[18, 53]",en
2008,Best Picture,There Will Be Blood,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",Nominee,,,[18],en
2009,Best Picture,Slumdog Millionaire,"Christian Colson, Producer",Winner,,,"[18, 10749]",en
2009,Best Picture,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,Nominee,,,"[18, 14, 10749]",en
2009,Best Picture,Frost/Nixon,"Brian Grazer, Ron Howard and Eric Fellner, Producers",Nominee,,,"[18, 36]",en
2009,Best Picture,Milk,"Dan Jinks and Bruce Cohen, Producers",Nominee,,,"[36, 18]",en
2009,Best Picture,The Reader,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers",Nominee,,,"[18, 10749]",en
2010,Best Picture,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",Winner,,,"[18, 53, 10752]",en
2010,Best Picture,Avatar,"James Cameron and Jon Landau, Producers",Nominee,,,"[28, 12, 14, 878]",en
2010,Best Picture,The Blind Side,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",Nominee,,,[18],en
2010,Best Picture,District 9,"Peter Jackson and Carolynne Cunningham, Producers",Nominee,,,[878],en
2010,Best Picture,An Education,"Finola Dwyer and Amanda Posey, Producers",Nominee,,,"[18, 10749]",en
2010,Best Picture,Inglourious Basterds,"Lawrence Bender, Producer",Nominee,,,"[18, 28, 53, 10752]",en
2010,Best Picture,Precious,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",Nominee,,,[18],en
2010,Best Picture,A Serious Man,"Joel Coen and Ethan Coen, Producers",Nominee,,,"[35, 18]",en
2010,Best Picture,Up,"Jonas Rivera, Producer",Nominee,,,"[16, 35, 10751, 12]",en
2010,Best Picture,Up in the Air,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers",Nominee,,,"[18, 10749]",en
2011,Best Picture,The King's Speech,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",Winner,,,"[18, 36]",en
2011,Best Picture,Black Swan,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",Nominee,,,"[18, 53, 27]",en
2011,Best Picture,The Fighter,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",Nominee,,,[18],en
2011,Best Picture,Inception,"Emma Thomas and Christopher Nolan, Producers",Nominee,,,"[28, 878, 12]",en
2011,Best Picture,The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",Nominee,,,"[35, 18]",en
2011,Best Picture,127 Hours,"Christian Colson, Danny Boyle and John Smithson, Producers",Nominee,,,"[12, 18, 53]",en
2011,Best Picture,The Social Network,The Social Network,Nominee,,,[18],en
2011,Best Picture,Toy Story 3,"Darla K. Anderson, Producer",Nominee,,,"[16, 10751, 35]",en
2011,Best Picture,True Grit,"Scott Rudin, Ethan Coen and Joel Coen, Producers",Nominee,,,"[18, 12, 37]",en
2011,Best Picture,Winter's Bone,"Anne Rosellini and Alix Madigan-Yorkin, Producers",Nominee,,,[18],en
2012,Best Picture,The Artist,"Thomas Langmann, Producer",Winner,,,"[18, 35, 10749]",en
2012,Best Picture,The Descendants,"Jim Burke, Alexander Payne and Jim Taylor, Producers",Nominee,,,"[35, 18]",en
2012,Best Picture,Extremely Loud & Incredibly Close,"Scott Rudin, Producer",Nominee,,,[18],en
2012,Best Picture,The Help,"Brunson Green, Chris Columbus and Michael Barnathan, Producers",Nominee,,,[18],en
2012,Best Picture,Hugo,"Graham King and Martin Scorsese, Producers",Nominee,,,"[12, 18, 10751]",en
2012,Best Picture,Midnight in Paris,"Letty Aronson and Stephen Tenenbaum, Producers",Nominee,,,"[14, 35, 10749]",en
2012,Best Picture,Moneyball,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers",Nominee,,,[18],en
2012,Best Picture,The Tree of Life,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers",Nominee,,,"[18, 14]",en
2012,Best Picture,War Horse,"Steven Spielberg and Kathleen Kennedy, Producers",Nominee,,,"[18, 10752, 28]",en
2013,Best Picture,Argo,"Grant Heslov, Ben Affleck and George Clooney, Producers",Winner,,,"[18, 53]",en
2013,Best Picture,Amour,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers",Nominee,,,"[18, 10749]",fr
2013,Best Picture,Beasts of the Southern Wild,"Dan Janvey, Josh Penn and Michael Gottwald, Producers",Nominee,,,[18],en
2013,Best Picture,Django Unchained,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers",Nominee,,,"[18, 37]",en
2013,Best Picture,Les Miserables,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers",Nominee,,,"[36, 18]",en
2013,Best Picture,Life of Pi,"Gil Netter, Ang Lee and David Womark, Producers",Nominee,,,"[12, 18, 28]",en
2013,Best Picture,Lincoln,"Steven Spielberg and Kathleen Kennedy, Producers",Nominee,,,"[36, 18]",en
2013,Best Picture,Silver Linings Playbook,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers",Nominee,,,"[18, 35, 10749]",en
2013,Best Picture,Zero Dark Thirty,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers",Nominee,,,"[53, 18, 36]",en
2014,Best Picture,12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",Winner,,,"[18, 36]",en
2014,Best Picture,American Hustle,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers",Nominee,,,"[18, 80]",en
2014,Best Picture,Captain Phillips,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers",Nominee,,,"[28, 18, 53]",en
2014,Best Picture,Dallas Buyers Club,"Robbie Brenner and Rachel Winter, Producers",Nominee,,,"[18, 36]",en
2014,Best Picture,Gravity,"Alfonso Cuarón and David Heyman, Producers",Nominee,,,"[878, 53, 18]",en
2014,Best Picture,Her,"Megan Ellison, Spike Jonze and Vincent Landay, Producers",Nominee,,,"[10749, 878, 18]",en
2014,Best Picture,Nebraska,"Albert Berger and Ron Yerxa, Producers",Nominee,,,"[18, 12]",en
2014,Best Picture,Philomena,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers",Nominee,,,[18],en
2014,Best Picture,The Wolf of Wall Street,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers",Nominee,,,"[80, 18, 35]",en
2015,Best Picture,Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers",Winner,,,"[18, 35]",en
2015,Best Picture,American Sniper,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers",Nominee,,,"[10752, 28]",en
2015,Best Picture,Boyhood,"Richard Linklater and Cathleen Sutherland, Producers",Nominee,,,[18],en
2015,Best Picture,The Grand Budapest Hotel,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers",Nominee,,,"[35, 18]",en
2015,Best Picture,The Imitation Game,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers",Nominee,,,"[36, 18, 53, 10752]",en
2015,Best Picture,Selma,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers",Nominee,,,"[36, 18]",en
2015,Best Picture,The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers",Nominee,,,"[18, 10749]",en
2015,Best Picture,Whiplash,"Jason Blum, Helen Estabrook and David Lancaster, Producers",Nominee,,,"[18, 10402]",en
2016,Best Picture,Spotlight,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers",Winner,,,"[18, 53, 36]",en
2016,Best Picture,The Big Short,"Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers",Nominee,,,"[35, 18]",en
2016,Best Picture,Bridge of Spies,"Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers",Nominee,,,"[53, 18]",en
2016,Best Picture,Brooklyn,"Finola Dwyer and Amanda Posey, Producers",Nominee,,,"[10749, 18]",en
2016,Best Picture,Mad Max: Fury Road,"Doug Mitchell and George Miller, Producers",Nominee,,,"[28, 12, 878]",en
2016,Best Picture,The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam, Producers",Nominee,,,"[18, 12, 878]",en
2016,Best Picture,The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers",Nominee,,,"[37, 18, 12]",en
2016,Best Picture,Room,"Ed Guiney, Producer",Nominee,,,"[18, 53]",en
2017,Best Picture,Moonlight,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers",Winner,,,[18],en
