year category name film result
1936 "Outstanding Production" "A Midsummer Night's Dream" "Warner Bros." Nominee
1936 "Outstanding Production" "Naughty Marietta" Metro-Goldwyn-Mayer Nominee
1936 "Outstanding Production" "Ruggles of Red Gap" Paramount Nominee
1936 "Outstanding Production" "Top Hat" "RKO Radio" Nominee
1937 "Outstanding Production" "The Great Ziegfeld" Metro-Goldwyn-Mayer Winner
1937 "Outstanding Production" "Anthony Adverse" "Warner Bros." Nominee
1937 "Outstanding Production" Dodsworth "Samuel Goldwyn Productions" Nominee
1937 "Outstanding Production" "Libeled Lady" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "Mr. Deeds Goes to Town" Columbia Nominee
1937 "Outstanding Production" "Romeo and Juliet" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "San Francisco" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "The Story of Louis Pasteur" Cosmopolitan Nominee
1937 "Outstanding Production" "A Tale of Two Cities" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "Three Smart Girls" Universal Nominee
1938 "Outstanding Production" "The Life of Emile Zola" "Warner Bros." Winner
1938 "Outstanding Production" "The Awful Truth" Columbia Nominee
1938 "Outstanding Production" "Captains Courageous" Metro-Goldwyn-Mayer Nominee
1938 "Outstanding Production" "Dead End" "Samuel Goldwyn Productions" Nominee
1938 "Outstanding Production" "The Good Earth" Metro-Goldwyn-Mayer Nominee
1938 "Outstanding Production" "In Old Chicago" "20th Century-Fox" Nominee
1938 "Outstanding Production" "Lost Horizon" Columbia Nominee
1938 "Outstanding Production" "One Hundred Men and a Girl" Universal Nominee
1938 "Outstanding Production" "Stage Door" "RKO Radio" Nominee
1938 "Outstanding Production" "A Star Is Born" "Selznick International Pictures" Nominee
1939 "Outstanding Production" "You Can't Take It with You" Columbia Winner
1939 "Outstanding Production" "The Adventures of Robin Hood" "Warner Bros.-First National" Nominee
1939 "Outstanding Production" "Alexander's Ragtime Band" "20th Century-Fox" Nominee
1939 "Outstanding Production" "Boys Town" Metro-Goldwyn-Mayer Nominee
1939 "Outstanding Production" "The Citadel" Metro-Goldwyn-Mayer Nominee
1939 "Outstanding Production" "Four Daughters" "Warner Bros.-First National" Nominee
1939 "Outstanding Production" "Grand Illusion" "Realization D'Art Cinematographique" Nominee
1939 "Outstanding Production" Jezebel "Warner Bros." Nominee
1939 "Outstanding Production" Pygmalion Metro-Goldwyn-Mayer Nominee
1939 "Outstanding Production" "Test Pilot" Metro-Goldwyn-Mayer Nominee
1940 "Outstanding Production" "Gone with the Wind" "Selznick International Pictures" Winner
1940 "Outstanding Production" "Dark Victory" "Warner Bros.-First National" Nominee
